ChunkContent,Subject,Predicate,Object,Confidence,Expert Answer,Short Justification
"[0022] The compositions and methods of the present invention can “comprise, consist of” or
“consist essentially of” the essential elements and limitations of the invention described herein, as well as any additional or optional ingredients, components, or limitations described herein or otherwise useful. For purposes of the compositions and methods of the present invention where the invention “consists essentially of” the identified ingredients and/or process steps, the “basic and novel property” of such compositions and/or methods is “a UV-curable nail composition with wear performance and chip resistance comparable to conventional solvent-based nail formulations, that is safer than conventional UV gel formulations.”
[0023] A cosmetic nail composition may be provided.
[0024] The disclosed compositions can be considered as combination of parts of a UV gel formulation with parts of a solvent-based formulations. Specifically, the cosmetic nail composition may include an UV gel portion and a solvent-based portion. The composition is preferably substantially free, essentially free, or free of water. In a preferred embodiment, the composition is an anhydrous composition.
UV Gel Portion.
",UV-curable nail composition,is,safer than conventional UV gel formulations,0.9,,
"[0022] The compositions and methods of the present invention can “comprise, consist of” or
“consist essentially of” the essential elements and limitations of the invention described herein, as well as any additional or optional ingredients, components, or limitations described herein or otherwise useful. For purposes of the compositions and methods of the present invention where the invention “consists essentially of” the identified ingredients and/or process steps, the “basic and novel property” of such compositions and/or methods is “a UV-curable nail composition with wear performance and chip resistance comparable to conventional solvent-based nail formulations, that is safer than conventional UV gel formulations.”
[0023] A cosmetic nail composition may be provided.
[0024] The disclosed compositions can be considered as combination of parts of a UV gel formulation with parts of a solvent-based formulations. Specifically, the cosmetic nail composition may include an UV gel portion and a solvent-based portion. The composition is preferably substantially free, essentially free, or free of water. In a preferred embodiment, the composition is an anhydrous composition.
UV Gel Portion.
",UV-curable nail composition,has,wear performance and chip resistance comparable to conventional solvent-based nail formulations,0.88,,
"[0022] The compositions and methods of the present invention can “comprise, consist of” or
“consist essentially of” the essential elements and limitations of the invention described herein, as well as any additional or optional ingredients, components, or limitations described herein or otherwise useful. For purposes of the compositions and methods of the present invention where the invention “consists essentially of” the identified ingredients and/or process steps, the “basic and novel property” of such compositions and/or methods is “a UV-curable nail composition with wear performance and chip resistance comparable to conventional solvent-based nail formulations, that is safer than conventional UV gel formulations.”
[0023] A cosmetic nail composition may be provided.
[0024] The disclosed compositions can be considered as combination of parts of a UV gel formulation with parts of a solvent-based formulations. Specifically, the cosmetic nail composition may include an UV gel portion and a solvent-based portion. The composition is preferably substantially free, essentially free, or free of water. In a preferred embodiment, the composition is an anhydrous composition.
UV Gel Portion.
",cosmetic nail composition,includes,UV gel portion and a solvent-based portion,0.92,,
"[0022] The compositions and methods of the present invention can “comprise, consist of” or
“consist essentially of” the essential elements and limitations of the invention described herein, as well as any additional or optional ingredients, components, or limitations described herein or otherwise useful. For purposes of the compositions and methods of the present invention where the invention “consists essentially of” the identified ingredients and/or process steps, the “basic and novel property” of such compositions and/or methods is “a UV-curable nail composition with wear performance and chip resistance comparable to conventional solvent-based nail formulations, that is safer than conventional UV gel formulations.”
[0023] A cosmetic nail composition may be provided.
[0024] The disclosed compositions can be considered as combination of parts of a UV gel formulation with parts of a solvent-based formulations. Specifically, the cosmetic nail composition may include an UV gel portion and a solvent-based portion. The composition is preferably substantially free, essentially free, or free of water. In a preferred embodiment, the composition is an anhydrous composition.
UV Gel Portion.
",composition,is,anhydrous composition,0.85,,
"[0025] The UV gel portion may include a plurality of UV-curable materials and a photoinitiator. Preferably the UV gel portion consists of the UV-curable materials and the photoinitiator.
",UV Gel Portion,may include,a plurality of UV-curable materials,0.95,,
"[0025] The UV gel portion may include a plurality of UV-curable materials and a photoinitiator. Preferably the UV gel portion consists of the UV-curable materials and the photoinitiator.
",UV Gel Portion,may include,a photoinitiator,0.95,,
"[0025] The UV gel portion may include a plurality of UV-curable materials and a photoinitiator. Preferably the UV gel portion consists of the UV-curable materials and the photoinitiator.
",UV Gel Portion,consists of,UV-curable materials and the photoinitiator,0.97,,
"[0012] The following description and drawings merely illustrate the principles of the invention. It will thus be appreciated that those skilled in the art will be able to devise various arrangements that, although not explicitly described or shown herein, embody the principles of the invention and are included within its scope. Furthermore, all examples recited herein are principally intended expressly to be only for illustrative purposes to aid the reader in understanding the principles of the invention and the concepts contributed by the inventor(s) to furthering the art and are to be construed as being without limitation to such specifically recited examples and conditions. Additionally, the term, “or,” as used herein, refers to a non-exclusive or, unless otherwise indicated (e.g., “or else” or “or in the alternative”). Also, the various embodiments described herein are not necessarily mutually exclusive, as some embodiments can be combined with one or more other embodiments to form new embodiments.
[0013] The numerous innovative teachings of the present application will be described with particular reference to the presently preferred exemplary embodiments. However, it should be understood that this class of embodiments provides only a few examples of the many advantageous uses of the innovative teachings herein. In general, statements made in the specification of the present application do not necessarily limit any of the various claimed inventions. Moreover, some statements may apply to some inventive features but not to others. Those skilled in the art and informed by the teachings herein will realize that the invention is also applicable to various other technical areas or embodiments.
",The following description and drawings,illustrate,the principles of the invention,0.95,,
"[0012] The following description and drawings merely illustrate the principles of the invention. It will thus be appreciated that those skilled in the art will be able to devise various arrangements that, although not explicitly described or shown herein, embody the principles of the invention and are included within its scope. Furthermore, all examples recited herein are principally intended expressly to be only for illustrative purposes to aid the reader in understanding the principles of the invention and the concepts contributed by the inventor(s) to furthering the art and are to be construed as being without limitation to such specifically recited examples and conditions. Additionally, the term, “or,” as used herein, refers to a non-exclusive or, unless otherwise indicated (e.g., “or else” or “or in the alternative”). Also, the various embodiments described herein are not necessarily mutually exclusive, as some embodiments can be combined with one or more other embodiments to form new embodiments.
[0013] The numerous innovative teachings of the present application will be described with particular reference to the presently preferred exemplary embodiments. However, it should be understood that this class of embodiments provides only a few examples of the many advantageous uses of the innovative teachings herein. In general, statements made in the specification of the present application do not necessarily limit any of the various claimed inventions. Moreover, some statements may apply to some inventive features but not to others. Those skilled in the art and informed by the teachings herein will realize that the invention is also applicable to various other technical areas or embodiments.
",those skilled in the art,will be able to devise,various arrangements that embody the principles of the invention,0.93,,
"[0012] The following description and drawings merely illustrate the principles of the invention. It will thus be appreciated that those skilled in the art will be able to devise various arrangements that, although not explicitly described or shown herein, embody the principles of the invention and are included within its scope. Furthermore, all examples recited herein are principally intended expressly to be only for illustrative purposes to aid the reader in understanding the principles of the invention and the concepts contributed by the inventor(s) to furthering the art and are to be construed as being without limitation to such specifically recited examples and conditions. Additionally, the term, “or,” as used herein, refers to a non-exclusive or, unless otherwise indicated (e.g., “or else” or “or in the alternative”). Also, the various embodiments described herein are not necessarily mutually exclusive, as some embodiments can be combined with one or more other embodiments to form new embodiments.
[0013] The numerous innovative teachings of the present application will be described with particular reference to the presently preferred exemplary embodiments. However, it should be understood that this class of embodiments provides only a few examples of the many advantageous uses of the innovative teachings herein. In general, statements made in the specification of the present application do not necessarily limit any of the various claimed inventions. Moreover, some statements may apply to some inventive features but not to others. Those skilled in the art and informed by the teachings herein will realize that the invention is also applicable to various other technical areas or embodiments.
",examples recited herein,are intended,to aid the reader in understanding the principles of the invention,0.92,,
