ChunkContent,Subject,Predicate,Object,Confidence,Expert Answer,Short Justification,<- Fill the Answers in these columns
"(10) International Publication Number WO 2023/060387 A1
(43) International Publication Date 20 April 2023 (20.04.2023) WIPO I P C T
",WO 2023/060387 A1,has publication date,20-Apr-23,0.95,,,
"(10) International Publication Number WO 2023/060387 A1
(43) International Publication Date 20 April 2023 (20.04.2023) WIPO I P C T
",WO 2023/060387 A1,is published by,WIPO,0.93,,,
"(51) International Patent Classification: A61K 8/02 (2006.01)
(21) International Application Number: PCT/CN202 1/ 123045
(22) International Filing Date:
11 October 2021 (11.10.2021)
(25) Filing Language: English (26) Publication Language: English
",International Patent Classification,is,A61K 8/02,0.95,,,
"(51) International Patent Classification: A61K 8/02 (2006.01)
(21) International Application Number: PCT/CN202 1/ 123045
(22) International Filing Date:
11 October 2021 (11.10.2021)
(25) Filing Language: English (26) Publication Language: English
",International Application Number,is,PCT/CN2021/123045,0.95,,,
"(51) International Patent Classification: A61K 8/02 (2006.01)
(21) International Application Number: PCT/CN202 1/ 123045
(22) International Filing Date:
11 October 2021 (11.10.2021)
(25) Filing Language: English (26) Publication Language: English
",International Filing Date,is,11-Oct-21,0.95,,,
"(51) International Patent Classification: A61K 8/02 (2006.01)
(21) International Application Number: PCT/CN202 1/ 123045
(22) International Filing Date:
11 October 2021 (11.10.2021)
(25) Filing Language: English (26) Publication Language: English
",Filing Language,is,English,0.95,,,
"(51) International Patent Classification: A61K 8/02 (2006.01)
(21) International Application Number: PCT/CN202 1/ 123045
(22) International Filing Date:
11 October 2021 (11.10.2021)
(25) Filing Language: English (26) Publication Language: English
",Publication Language,is,English,0.95,,,
"(71) Applicant (for all designated States except AL): L’OREAL [FR/FR]; 14, Rue Royale, Paris 75008 (FR).
(72) Inventor; and (71) Applicant (for AL only): MA, Yuan [CN/CN]; 550 Jinyu Road, Pudong New Area. Shanghai 201206 (CN).
",L’OREAL,is applicant for,all designated States except AL,0.95,,,
"(71) Applicant (for all designated States except AL): L’OREAL [FR/FR]; 14, Rue Royale, Paris 75008 (FR).
(72) Inventor; and (71) Applicant (for AL only): MA, Yuan [CN/CN]; 550 Jinyu Road, Pudong New Area. Shanghai 201206 (CN).
",L’OREAL,is located at,"14, Rue Royale, Paris 75008",0.95,,,
"(71) Applicant (for all designated States except AL): L’OREAL [FR/FR]; 14, Rue Royale, Paris 75008 (FR).
(72) Inventor; and (71) Applicant (for AL only): MA, Yuan [CN/CN]; 550 Jinyu Road, Pudong New Area. Shanghai 201206 (CN).
",L’OREAL,is associated with,FR,0.95,,,
"(71) Applicant (for all designated States except AL): L’OREAL [FR/FR]; 14, Rue Royale, Paris 75008 (FR).
(72) Inventor; and (71) Applicant (for AL only): MA, Yuan [CN/CN]; 550 Jinyu Road, Pudong New Area. Shanghai 201206 (CN).
","MA, Yuan",is inventor and applicant for,AL only,0.95,,,
"(71) Applicant (for all designated States except AL): L’OREAL [FR/FR]; 14, Rue Royale, Paris 75008 (FR).
(72) Inventor; and (71) Applicant (for AL only): MA, Yuan [CN/CN]; 550 Jinyu Road, Pudong New Area. Shanghai 201206 (CN).
","MA, Yuan",is located at,"550 Jinyu Road, Pudong New Area, Shanghai 201206",0.95,,,
"(71) Applicant (for all designated States except AL): L’OREAL [FR/FR]; 14, Rue Royale, Paris 75008 (FR).
(72) Inventor; and (71) Applicant (for AL only): MA, Yuan [CN/CN]; 550 Jinyu Road, Pudong New Area. Shanghai 201206 (CN).
","MA, Yuan",is associated with,CN,0.95,,,
"(74) Agent: CHINA patent AGENT (H.K.) ltd.; 22/F., Great Eagle Center, 23 Harbor Road, Wanchai, Hong Kong (CN).
",CHINA patent AGENT (H.K.) ltd.,is located at,Great Eagle Center,0.95,,,
"(74) Agent: CHINA patent AGENT (H.K.) ltd.; 22/F., Great Eagle Center, 23 Harbor Road, Wanchai, Hong Kong (CN).
",CHINA patent AGENT (H.K.) ltd.,is located at,"23 Harbor Road, Wanchai, Hong Kong",0.95,,,
"(74) Agent: CHINA patent AGENT (H.K.) ltd.; 22/F., Great Eagle Center, 23 Harbor Road, Wanchai, Hong Kong (CN).
",CHINA patent AGENT (H.K.) ltd.,is an agent for,patent,0.9,,,
"(81) Designated States (unless otherwise indicated, for every kind of national protection available): AE, AG, AL, AM, AO, AT, AU, AZ, BA, BB, BG, BH, BN, BR, BW, BY, BZ, CA, CH, CL, CN, CO, CR, CU, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, ES, FI, GB, GD, GE, GH, GM, GT, HN, HR, HU, ID, IL, IN, IR, IS, IT, JO, JP, KE, KG, KH, KN, KP, KR, KW, KZ, LA, LC, LK, LR, LS, LU, LY, ma, MD, ME, mg, MK, MN, MW, MX, MY, MZ, NA, NG, NI, NO, NZ, OM, PA, PE, PG, PH, PL, PT, QA, RO, RS, RU, RW, SA, SC, SD, SE, SG, SK, SL, ST, SV, SY, TH, TJ, TM, TN, Tr, TT, TZ, UA, UG, US, UZ, VC, VN, WS, ZA, ZM, ZW.
",Patent Publication Information,designates,Designated States,0.9,,,
